convexity; 
0.389313; 
0.115566; 
0.097701; 
0.800000; 
0.092166; 
0.800000; 
0.800000; 
0.222222; 
1.000000; 
0.800000; 
0.119497; 
0.094488; 
0.800000; 
0.800000; 
0.301587; 
0.430556; 
0.800000; 
0.800000; 
